以下実験結果です．[データ量],[再代入誤差],[汎化誤差(最大ノルム)],[汎化誤差(平均ノルム)]
10,364.26883006296697,1.0,3.1622776601683795
20,12.182455583108224,1.6050057399431514,1.6156344605173927
30,15.01420837406431,0.7278737265527145,0.7945632516958155
40,17.580351561639553,1.1485617411800644,1.390596707089512
50,19.804653637071695,0.3383162742853678,0.3912293826942932
60,23.127162936571622,0.43891371703268783,0.48978880753054405
70,22.021796450783516,0.6827942182474658,0.7666504525891643
80,27.281281022681174,0.5258714849942603,0.5975536868922819
90,23.961662316210013,0.578938341364662,0.6625326336706152
100,24.530618137766425,0.7886388388565496,0.9564340146540224
110,27.430544206311605,0.9042758071634251,0.9537467953392181
120,26.58877483228689,0.6495907701063361,1.0311727793118959
130,26.436178903251214,0.39197476928296343,0.7011863973226181
140,25.67777321618089,0.860228788152459,1.2418351285116307
150,25.3639279325159,0.7165926494542842,1.1189113794975603
160,25.093026741836603,0.9234488818845175,1.243587754162466
170,26.04691993194333,0.5773075881706857,0.794574138401511
180,25.58334952344406,0.7168590427916792,1.1831350653745136
190,26.977286522865363,0.8326230630626941,1.119725196282008
200,27.628900356730565,0.9527184877059292,1.461785594420179
210,28.60478722114854,0.8337783242962199,1.4381073687453807
220,28.38353860601331,0.9246659980604016,1.6444675842824807
230,28.580585358564324,0.5980812261973509,1.1261580311582078
240,28.507148884876287,0.8424388390796804,1.1856897058831337
250,28.882371360283265,0.7828542013653188,1.352008928071137
260,31.11923163796315,0.7024867519370686,1.2459959318495155
270,29.49227886515393,0.8684064207789739,1.6236257258682123
280,28.99295836382033,1.312582039066498,1.7552330396029148
290,28.87383829967638,1.1696690039550597,1.9186275536601998
300,28.903177500712395,0.9772983061228158,2.0637681428740837
310,28.96939310810164,1.1568979715880805,1.8103515213723231
320,29.359061443606464,1.3252010251234252,2.118145420709437
330,29.978558583854156,1.2730286501593409,2.116961596572934
340,29.7134276172729,1.4277086111406496,2.0873248486878224
350,30.588509099713406,1.2475595477175083,1.9736197437240346
360,30.650013773813225,1.1793084938535288,2.1799638429845936
370,29.95279222961775,0.7466545680603598,1.5912764898541343
380,29.717337048517656,1.2893165455266402,1.7493401298122853
390,29.65208722975402,1.2531669045908833,1.8672129355732299
400,30.826119524899685,0.8947616443811248,1.6573416978945967
410,30.255457532018188,0.8979261163642394,1.5325400006902332
420,30.589006671523368,0.9574975861018818,2.025437065541538
430,29.598681801344746,1.1625102042947477,2.647343482614992
440,29.985569938698028,1.273484242603874,2.9320261094335303
450,29.472356350134966,1.3994656346381293,2.9121693294976727
460,29.51167894577724,1.5734993440175216,2.763295761441807
470,29.991170792213605,0.8791710188149637,1.5750270327207232
480,30.366445269844178,1.0238116051851494,2.3353810425499635
490,30.27142807091329,1.709360258513471,2.5371053357090414
500,30.437490959925707,1.2842042381450935,2.777175215488961
510,30.400634864158697,1.0719405527597354,2.204596883002416
520,31.91990302683591,2.9531425856423974,5.06553248799023
530,31.942427654281346,2.303492055303349,4.706397095665021
540,33.274526420290144,2.1672391997262634,4.809060280914583
550,33.40320919722547,3.1051710590234554,6.119828014821351
560,33.464760919319076,3.104093264033052,5.96512557162333
570,32.594949603342755,3.900583812024814,7.2094950430437015
580,33.31536861025469,4.0697348673263996,6.961783914497954
590,32.66008304345008,4.150017707537283,7.997885849092691
600,32.21726679242119,3.6705247480697953,6.849636313654782
610,32.703794627631005,3.2458364321100306,7.159176251837233
620,32.580460089124095,3.366316940589382,7.31409981165573
630,33.052639992971045,2.88841458082216,6.424194822332151
640,32.98332887099647,4.214906482670857,7.702117562045888
650,32.88582823030402,4.116800408677793,7.582610518258985
660,32.73191677693012,4.234125733367719,8.191222083404684
670,33.504009564074295,5.241155988898626,9.25003190074344
680,32.558047313046025,4.792013687017844,9.158543870629376
690,32.523273134608964,4.934882662973521,9.403474839326448
700,32.55929439871969,4.1998520687298555,9.57559066994015
710,32.77812203533568,5.663551383344758,10.18791910445536
720,33.59915598760371,5.394236219318942,9.44208021813515
730,32.71787672654124,5.624269448395193,10.16914671930273
740,32.93593012510932,4.83574031647822,9.870493102145277
750,33.413267478842634,5.040093613537354,10.333155484259667
760,32.341912828800936,4.778086724917868,10.192637947459234
770,32.55554768148377,4.8059728562436845,10.1337213109809
780,33.02329413658814,5.623743164833682,12.244780474408472
790,32.693201364585526,5.797727771345969,12.715808049570681
800,32.744418240539986,5.695229362812801,12.348808414578238
810,32.60436339773226,5.467790623703038,11.986489921365944
820,32.6456259076456,5.227384424620647,11.825971260853374
