以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,96.45115856116608
20,119.71548970899535
30,132.47197158353902
40,136.31805906328182
50,141.97494877186077
60,147.90650193333926
70,151.8029382286862
80,161.31248073809226
90,162.57111707841253
100,168.31808391659732
110,165.8365016514343
120,164.59287551255082
130,164.26567425937816
140,160.58943582816696
150,161.09351501054002
160,162.6437909705239
170,164.46678402823744
180,165.47711070860737
190,165.77503030129563
200,167.92436844302796
210,167.020953251796
220,168.47095367407553
230,168.5142878516685
240,170.01436577344853
250,171.47358374282024
260,173.15794818416327
270,176.84043391879877
280,177.50615723364191
290,177.62184063867494
300,177.26722258501542
310,178.4214413785208
320,177.85472265609673
330,179.4803696159324
340,177.70184105895123
350,176.97766558612057
360,176.01440003083755
370,176.4969694479881
380,176.2428361235173
390,177.5573376352532
400,179.56336804880826
410,177.88406751485468
420,178.22046254494546
430,177.4580523456861
440,177.5083978087039
450,177.760532808481
460,177.55272493322028
470,178.59460450621322
480,178.00464437155165
490,177.66425738797574
500,177.68970099836463
510,177.0386446858084
520,176.77752454980583
530,176.00354485549846
540,175.2873141428653
550,175.2316835397526
560,175.72722042394537
570,175.86253763153755
580,175.45930082171895
590,175.5963770592858
600,175.8380350105585
610,175.37844038257103
620,176.07725678668982
630,174.91217772880404
640,175.61675358494858
650,176.02233156918464
660,176.62968993932228
670,177.28737668206657
680,177.8764889157408
690,176.93549479322812
700,177.0402036535121
710,177.14951288829573
720,177.12318030958895
730,177.31139189955152
740,177.7368725588886
750,177.4220677006972
760,177.54135621741017
770,177.3560123862481
780,176.84117824391572
790,178.3138439105058
800,179.37066040967363
810,179.21425637652308
820,179.60754715658592
830,179.79246426611257
840,180.0992366306607
850,179.12799183991305
860,179.4710244783778
870,178.9384174442777
880,178.1058878288027
890,178.00052058146738
900,178.30286603362507
910,179.17497973782196
920,179.29143832593468
930,178.8524974110298
940,178.19842439636594
950,178.23124010145978
960,177.80136547475556
970,177.31890644275282
980,177.5628462906611
990,176.92873594448184
1000,177.00789437298042
