0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,
0,0.1,0.837633007,1.33138498,2.311716969,3.210666306,3.809681066,5.007926362,5.460296576,5.19430815,5.043348676,8.020955811,7.376015521,7.983104594,8.624897343,10.50790569,42.47105477,11.16077082,37.02901093,13.73861145,48.28138564,
0,0.133333333,0.6,1.781430178,2.147961734,2.714065139,3.363635698,3.514538851,6.294649601,5.933693523,9.066863516,13.18670984,8.369022618,8.872848939,9.23417731,8.928601839,10.92499181,10.91578744,11.20259229,18.60388711,12.74755413,
0,0.133333333,0.641421356,1.219727698,2.203007529,3.172287776,3.939217992,4.056209867,5.630062498,5.428143515,5.408785989,6.595348307,15.30066565,9.312030631,8.914869788,11.0096273,9.740714745,9.713977893,14.46134509,22.10266874,13.05592586,
0,0.2,0.688342718,0.843571193,2.324716025,2.507092781,3.147525607,5.788369573,5.448661881,5.294355752,6.210656736,7.8868644,7.127935048,18.89938604,7.372858066,16.14736367,15.71580494,15.52312536,15.18654338,38.50249884,15.17082093,
0,0.1,0.678835273,1.453589962,1.963642845,3.432242051,3.915590644,4.124619859,4.323241695,4.861655291,6.062236081,6.583660149,8.078943424,10.99881626,10.54471847,19.66729742,11.30062027,10.85443249,14.35823526,17.52704652,18.04846667,
0,0.033333333,0.633333333,1.63107514,2.056077908,3.055003302,4.060812955,4.188649474,4.81590314,6.365143007,5.703070469,7.678156411,7.018281522,8.593445954,8.255988638,13.82153349,10.34401127,10.11189313,10.50377674,14.34428365,17.2422309,
0,0.1,0.584554369,1.343042262,2.461432829,2.486753485,3.454578222,4.701435147,4.951609845,5.318571422,6.852088492,7.641397013,8.585121598,13.01492282,7.621527957,24.86319261,13.89255071,26.32289676,11.26691819,13.19720528,23.74429245,
0,0.266666667,0.333333333,1.419727698,1.979629329,2.952644781,3.952038313,4.678159569,4.213269499,5.846866061,6.599321588,12.92991628,7.412632505,7.479578503,8.094032167,11.18176241,13.33393473,13.18362007,18.82921848,12.65348443,15.1188762,
0,0.166666667,0.53548317,1.487272283,2.245952339,3.51699797,3.395198934,5.516540745,4.703783449,5.105892652,6.921245616,7.030185785,16.0508694,6.592487552,12.27326926,8.116726636,13.30302848,20.66486655,25.8130433,11.83710113,14.42407285,
0,0.166666667,0.580473785,1.724619944,2.392191753,3.207107275,3.585732859,4.199920429,5.868605921,5.486568952,7.255344291,6.23057557,7.379372894,9.270136859,9.577500912,12.7679615,15.52621461,9.706963493,13.51740694,12.39437979,14.65785824,
