以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,372.1379773311586,1.0
20,10.41037409195924,1.0197004237399214
30,11.003080711112442,1.0000000000000153
40,15.073561188679705,1.207433489351564
50,19.373037557503235,0.9999999999999964
60,20.010892644445065,0.9999999999999952
70,25.51356643664934,0.9993990384615211
80,23.977163541177436,1.0007294862353528
90,23.026137133354496,1.1223461921711695
100,27.628184919428303,2.3567587398015957
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
HyperMeanの閾値 0.4 で 2D_NbO を学習した結果です
10,332.6527374385729,1.0
20,15.357348835650999,0.9999999999999977
30,20.761687829627935,1.86630577808685
40,22.716758520728273,1.0000000000000542
50,25.222305341132728,1.0000000000012905
60,30.76074512708531,1.0000000000000164
70,28.274651270085307,1.00000000000001
80,25.509175169083598,1.0000000000000469
90,29.52091747870567,0.9999999999999938
100,42.300742084451294,1.0801680872166164
110,29.992572107740667,1.000000000000004
120,34.89536413999026,0.9998516834790369
130,31.06661301460526,0.9998641852547274
140,31.95677179350209,0.9997703182712352
150,32.88664438335174,0.9998729474963785
160,33.02727803109668,1.6158070741243191
170,36.202797771036984,2.140126951527173
180,32.21175490769253,1.8161961261771478
190,32.058300021751876,3.47980912409369
200,32.781112226228245,3.0851133075138377
210,34.7061514980383,4.2112540343566645
220,32.66846042304764,2.748846238823733
230,37.91345748678006,4.1474250102932215
240,36.06189718795467,3.84687824792488
250,36.2338073120331,3.4207213508977103
260,36.71842387829232,5.395951638144457
270,37.75612428442395,4.734565302591547
280,37.00222107672183,6.567674233734243
290,36.8065656068852,6.491325676356439
300,36.7065527265394,5.809876734877691
310,36.1335089637299,5.9641008204758705
320,37.92906692006681,5.380309359747633
330,37.314664228351596,5.612214341299409
340,37.72618049096024,5.4626595706379435
350,37.30761267498453,4.491640810073129
360,39.7373788875291,5.520496382311164
370,38.65389053914843,5.505919130311822
380,38.7735880255556,6.535965817773314
390,38.53526074638588,4.693386881368125
400,39.31385025519298,5.735199578246732
410,37.941215885943315,7.729938923277808
420,40.59504655789255,7.147556072911172
430,39.59197264204385,8.645445522358845
440,38.50591286124901,8.240933832707325
450,39.3961875434656,7.203878664697425
460,38.18279692495299,8.90658759777096
470,38.269393616524184,9.059811991987736
480,37.685873892704436,11.0175016447414
490,38.648685990147975,12.237079967283247
500,38.429773409620154,9.726132170876284
510,38.68913822600841,9.918582400099744
520,38.88530615368457,10.320694025737671
530,39.03174163962027,10.941745858338532
540,38.17817481246636,10.505506397586643
550,38.10307815699553,10.00040734800453
560,39.341896441219376,11.244165499707835
570,38.92988059006896,11.373597376181763
580,38.862552534523786,10.848066909456339
590,39.61373348392316,11.88166960931013
600,40.24985447585179,12.871436217721486
610,40.023406974795876,13.21506274644386
620,40.21157461581454,12.249971527606858
630,40.52741721245139,14.698643259157155
640,40.63606437991423,14.133900461972779
650,40.957585510170546,14.73012221548364
660,40.98498510287513,16.795853221418437
670,41.175194049512776,14.947241979737246
680,42.093511002603904,15.38845120912299
690,41.98255881970845,15.089863685500529
700,42.440925036450146,14.146396041919168
710,42.64372503047135,14.156681487186782
720,42.18831647565955,14.784758116313489
730,42.359654882593766,15.300523336713018
740,42.12634204974585,15.109708125683063
750,42.22081591550696,15.437811225959361
760,41.85804744041835,15.974265478609162
770,42.07221010648898,13.74973652814635
780,44.04508868441949,13.562536377925046
790,44.18940664741109,14.245850284819987
800,44.22926192682345,13.081440727258023
810,44.575969006051075,16.080898301893072
820,43.74185507401538,15.740805701593583
830,43.32459718300435,15.70055246417839
840,43.47663802914616,13.648519803556107
850,44.0035509054398,13.53577776648353
860,43.58932221758958,15.773084928148114
870,43.788187085044655,15.386178409744971
880,43.779333168251476,17.326648034622377
890,43.23071455421278,15.309436615264124
900,43.09138869611054,16.919025587017757
910,43.17311759245343,17.662727941538158
920,42.743741829344394,17.007272249758262
930,42.58700495327961,15.45375457139925
940,42.403242243579726,17.302608267043187
950,42.12328237044736,18.37109296876292
960,41.924754414136125,17.087799028764813
970,42.02669887862083,16.294338606007493
980,42.22936993478353,17.14157268036992
990,41.97748917561259,16.330762213437097
1000,42.22728330254378,16.469898393779477
1010,41.773476057128846,16.430435013065114
1020,41.662771546435266,15.332324602343572
1030,41.68211213236503,16.190502611220907
1040,41.79481871176855,16.667809632374873
