以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,1.737351349622034,1.555766527629478
20,12.675021087759385,1.81345473114227
30,17.750769644087256,1.6584891323464486
40,17.817869086683892,1.7158799001417235
50,20.29411554816362,1.723838716212282
60,19.599310613998117,1.3707732378153012
70,18.86961534909177,1.103614774426508
80,22.345136210783604,3.8647193986070167
90,20.927524687060192,1.5719267010617937
100,21.52623164090563,1.0040086243523754
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,345.450432809045,1.0
20,1024.3722163399646,755.6096532741899
30,1393.406937852254,755.6096532741899
40,1577.2405759965677,755.6096532741899
50,1596.365797427971,755.6096532741899
60,1720.9310194447492,755.6096532741899
70,1707.694575209607,755.6096532741899
80,1711.3611526949571,755.6096532741899
90,1803.2531535431212,755.6096532741899
100,463.014943948113,878.4230808307273
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,117.74600634086795,356.7044642501028
20,89.42713249926814,212.2329102157088
30,137.49278272150977,294.86325116192234
40,111.50506084132347,253.2280218873203
50,114.28330348523443,247.60899940867003
60,122.23418430431623,227.08559883347928
70,130.0108344744493,324.67784588948024
80,107.72564586365984,293.9371179767523
90,117.9685502092836,260.1333999985109
100,94.48122611737709,258.7815119123771
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,177.95282038422346,328.6295738816159
20,195.96375611858247,328.6295738816159
30,225.82808565508566,328.6295738816159
40,217.00995698032182,328.6295738816159
50,500.16668386754037,318.5601405552984
60,245.7623524334194,328.6295738816159
70,248.4297300242757,328.6295738816159
80,250.2542984240275,328.6295738816159
90,265.63908153448733,328.6295738816159
100,279.34586410732203,328.6295738816159
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,99.80531245579829,126.00713318056137
20,109.73332287099865,126.00713318056137
30,113.47310962476666,126.00713318056137
40,120.97370321061264,126.00713318056137
50,125.2890513063973,126.00713318056137
60,130.2499617242092,126.00713318056137
70,136.27501571598768,126.00713318056137
80,133.2037735862834,126.00713318056137
90,136.5910565310025,126.00713318056137
100,137.62683915600167,126.00713318056137
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,156.99892791490086,119.62392550260677
20,142.56469226757844,118.73191722855535
30,135.87998084711035,126.00713318056137
40,136.1616112594044,126.00713318056137
50,136.3846580311527,126.00713318056137
60,137.32954536482964,126.00713318056137
70,134.8424175229327,126.00713318056137
80,137.57984653586323,126.00713318056137
90,139.1039547644039,126.00713318056137
100,165.2396393004339,136.5004018390383
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,28.516804938755012,2.3610627675649805
20,51.852968454022694,2.3610627675649805
30,25.57400614325693,1.557373502409598
40,62.01423221689902,2.6540918230581854
50,65.62489489676678,2.3610627675649805
60,67.18094699961652,2.9206973354572314
70,68.67058380673511,2.3610627675649805
80,68.91388347223163,2.3610627675649805
90,69.20787617502918,2.3610627675649805
100,69.58506581877816,2.3610627675649805
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,139.45601218340755,153.86343564659134
20,106.67479546508957,134.30917020718306
30,82.90869755516275,81.29267655042084
40,92.8436794243669,117.13841066273449
50,132.80607647032315,134.30917020718306
60,91.81922312964298,85.77445413345238
70,132.26289811684222,112.7918927979425
80,161.2855366279399,118.44822428761391
90,137.9948733534488,134.30917020718306
100,187.50566832008215,94.41169820138168
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,431.9179146521335,788.8472414849905
20,1230.321489933972,788.3020853547761
30,884.8516148257364,647.0233472792869
40,403.6134395567127,674.9279381326078
50,945.8583538639588,647.0233472792869
60,955.2337212492461,647.0233472792869
70,607.9374340694211,601.0671845661893
80,906.9058342768205,647.0233472792869
90,938.8831735115359,647.0233472792869
100,937.9397802737565,647.0233472792869
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,121.48400428222462,123.41593961761926
20,149.05818774675893,114.60342199869993
30,146.2424649887594,100.209431473
40,122.78647663516942,107.50082947416557
50,148.33042843803926,79.82120853133921
60,135.49029228145156,98.88179818837223
70,170.21045435509183,105.48792175388392
80,181.93042946640713,133.0512802217088
90,203.9219673523915,98.3969871793641
100,150.0611401612399,114.33997922872223
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,12.235749584819137,17.98306029696687
20,27.121783732838715,17.98306029696687
30,29.182720911864816,17.98306029696687
40,32.58754722412073,17.98306029696687
50,36.27016432539902,17.98306029696687
60,39.02089023204349,17.98306029696687
70,40.89422724391729,17.98306029696687
80,43.129103205949406,17.98306029696687
