以下実験結果です．[データ量],[再代入誤差],[汎化誤差(最大ノルム)],[汎化誤差(平均ノルム)]
割合 , 0.1
10,342.12004055824696,1.0,3.1622776601683795
20,10.091745210740886,1.639719354927804,1.6433683874997191
30,16.23144889742677,0.07603893966787068,0.07850782418969025
40,18.62198636344565,1.1807732331254022,1.303344178658934
50,17.649340610289915,0.4228605653516369,0.44619636493617193
60,19.710415154934342,0.2844287982079207,0.287659289857531
70,19.81418365737633,0.5933952016278256,0.6189817320721777
80,20.970129342226222,0.49397761534994294,0.5329475161906232
90,21.623532716930253,0.7142254742113499,0.7185937783195078
100,20.92922974657305,0.5212716108775493,0.5240884170259305
110,21.70932818122539,1.1939137002772404,1.2501791383338894
120,22.000561431131917,0.5518950186386202,0.5525295643958574
130,22.492608623890536,0.3733981270568387,0.4819637559126093
140,21.927411990800536,0.9287161858544637,0.9468954154925424
150,22.403263159529814,0.584840813665351,0.5950272585174567
160,22.990874365532996,0.4671889689041067,0.5539865576851538
170,23.185789137046623,0.5940929305554654,0.7229788688644044
180,22.9707780676098,0.3556862104384154,0.3639723963153519
190,23.358105952916997,0.286503757963085,0.2867160695614232
200,22.69125667345128,0.2727504058247784,0.2731562988590461
210,22.442108582338523,0.24517174952406887,0.25233901914598644
220,21.992702520766528,0.35926699584861155,0.3850529001322065
230,21.996055309016768,0.24347250721095842,0.24412918635379083
240,22.214385296694143,0.21532861904568323,0.219151201637133
250,22.44777452003703,0.32635159615010584,0.3933376059692171
260,22.5429439820622,0.02301324007687014,0.032155296259038714
270,22.218774292255702,0.29634545678239393,0.297986208299386
280,22.073920840629665,0.2596630335128446,0.2695078733533078
290,22.111653447167328,0.18936936384127573,0.21990703570142622
300,22.156203920221905,0.18003307810506256,0.18459769807737375
310,22.083802662237574,0.11044347981878881,0.12217103727545364
320,22.014939578957005,0.2625292527629418,0.31502851560458134
330,22.053049351949916,0.28430783662930426,0.3181548663146617
340,22.03495095224733,0.2905806968084777,0.3076467113120523
350,22.052269169698857,0.06259067167780374,0.08120081744802599
360,22.132655701354235,0.23997396238794774,0.26307464655566887
370,21.934894146549798,0.3284426357461217,0.3342917967960491
380,21.93886300134516,0.21772879953469884,0.22166763328162223
390,21.823732161718517,0.22421972597589798,0.28681740997018834
400,21.879625053608233,0.14669521847120914,0.16353127009742768
410,21.910179781738172,0.19458862972640584,0.2337809767596208
420,22.069092541635484,0.1796964234196728,0.2024536413701944
430,21.935076652909896,0.16764893596201705,0.18195208934504326
440,21.990851791968023,0.28897978310539446,0.28911861500437513
450,21.88965728359182,0.2514978945016716,0.25363399752786586
460,22.021920719878203,0.2276240294944132,0.22796575064055397
470,22.279540280147643,0.26072616255624326,0.26084030768228156
480,22.04090352130678,0.16823791530755902,0.16970069601510487
490,22.343044110785257,0.18883812348261145,0.23484764934663246
500,22.573495592044246,0.2085947768694633,0.2277991058860107
510,22.687244251669945,0.3266058569947171,0.37506131422020184
520,22.626079148875935,0.20379976217896129,0.21774544268988075
530,22.533534125713853,0.21632182444440184,0.23215193549686122
540,22.76219310768345,0.24735358649767966,0.30845277311004365
550,22.91623709641177,0.2887254410641714,0.34247662937832607
560,22.929386301807405,0.2820890471473141,0.32415862849046595
570,22.93561989875155,0.2578230723012807,0.33045780650640494
580,22.866447348079674,0.27841607794481715,0.35007367653080745
590,22.847043046242433,0.2792354824325449,0.32572000573829174
600,22.955168614557667,0.2338831883565518,0.257738843490841
610,22.95761441533353,0.20036452710509225,0.2578480708940435
620,22.963147753975694,0.2487675534491341,0.2892602541968071
630,22.936563448730624,0.31911326033509163,0.3706577615198266
640,22.94677087824018,0.29404951394256246,0.37681750905321965
650,22.809952269788297,0.20606647436417572,0.24395429557918885
660,22.82366660340275,0.22712372689264446,0.31933561059346116
670,22.70775492228598,0.1965839247041259,0.2459319236101758
680,22.58425532896512,0.23613296695064956,0.3203999101132761
690,22.492798850168267,0.30094943181584083,0.36694954169461635
700,22.517649655713157,0.30824631758210785,0.37452128345554575
710,22.37259753159996,0.24000306060066376,0.3071043204293491
720,22.47294308440471,0.27538624946648144,0.31477992208076244
730,22.515389514327293,0.3391663670621204,0.38264438285621466
740,22.485536402083596,0.32612834817054526,0.3587185153277352
750,22.39860164722014,0.3721199584582033,0.385951581669126
760,22.52509247071,0.36513147740895424,0.3777059929011224
770,22.5665288164667,0.36001955682863257,0.38733006778266627
780,22.679298672504153,0.37671785544055486,0.4009957077946134
790,22.727844114047212,0.30435205970521134,0.31095364987351276
800,22.802922674838584,0.34767762599608637,0.38591411453460545
810,22.818632851247443,0.33960030084972387,0.38469522719009797
