以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,3647.3766574945125,10516.022945227622
20,1767.364363608243,3090.940918204279
30,1096.0370303999482,2147.644865450978
40,160.8223979671848,441.0414629245496
50,151.60868005841073,336.1176465520644
60,99.20379724695219,184.1940691625461
70,103.76614702884326,206.46065870831862
80,81.63786528490576,154.28722393313265
90,54.78884181610464,85.19755931926035
100,72.70861263980996,125.68173580494724
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
10,10615.0199903353,10539.100807988327
20,6555.388759293499,4634.6209464464955
30,1761.6301750965588,667.3687622731043
40,82.51673035663919,184.82489205568328
50,75.37656290587745,150.14653103010227
60,47.5744010406756,69.40912774553763
70,59.44072403203339,95.52444179571258
80,36.50657898710328,43.78482466297545
90,31.32463813698775,29.467820388213983
100,30.5456894239976,31.37537836110346
以下実験結果です．[データ量],[再代入誤差],[汎化誤差]
