goal  ,1,86,155,32,73,72,73,103,80,131,121,0,0,0,0,0,0,0,0
start ,1,55,140,159,73,119,73,117,36,6,47,0,0,0,0,0,0,0,0
start ,1,143,60,60,96,20,96,140,82,130,9,0,0,0,0,0,0,0,0
status,1,137,35,60,96,20,96,140,82,130,9,0,0,0,0,0,0,0,0
goal  ,1,137,35,60,96,20,96,140,82,130,9,0,0,0,0,0,0,0,0
start ,1,170,74,194,180,194,140,148,128,81,80,0,0,0,0,0,0,0,0
start ,1,139,163,167,166,127,166,149,71,21,84,0,0,0,0,0,0,0,0
status,1,80,124,167,166,127,166,149,71,21,84,0,0,0,0,0,0,0,0
goal  ,1,80,124,167,166,127,166,149,71,21,84,0,0,0,0,0,0,0,0
start ,1,3,151,73,48,73,88,47,35,111,69,0,0,0,0,0,0,0,0
start ,1,36,23,154,86,154,46,4,49,170,13,0,0,0,0,0,0,0,0
status,1,103,18,154,86,154,46,4,49,170,13,0,0,0,0,0,0,0,0
goal  ,1,103,18,154,86,154,46,4,49,170,13,0,0,0,0,0,0,0,0
start ,1,13,159,132,163,172,163,60,142,157,195,0,0,0,0,0,0,0,0
status,1,158,105,56,20,56,60,158,162,163,156,0,0,0,0,0,0,0,0
goal  ,1,158,105,56,20,56,60,158,162,163,156,0,0,0,0,0,0,0,0
start ,1,34,10,128,41,168,41,159,105,14,169,0,0,0,0,0,0,0,0
start ,1,168,123,122,71,82,71,75,118,11,183,0,0,0,0,0,0,0,0
status,1,90,153,122,71,82,71,75,118,11,183,0,0,0,0,0,0,0,0
goal  ,1,90,153,122,71,82,71,75,118,11,183,0,0,0,0,0,0,0,0
start ,1,17,65,51,122,51,82,129,64,108,12,0,0,0,0,0,0,0,0
start ,1,63,106,134,105,174,105,162,0,91,116,0,0,0,0,0,0,0,0
status,1,77,111,134,105,174,105,162,0,91,116,0,0,0,0,0,0,0,0
goal  ,1,77,111,134,105,174,105,162,0,91,116,0,0,0,0,0,0,0,0
start ,1,103,146,161,157,161,117,144,1,162,80,0,0,0,0,0,0,0,0
start ,1,13,91,97,163,57,163,118,3,44,41,0,0,0,0,0,0,0,0
status,1,29,66,97,163,57,163,118,3,44,41,0,0,0,0,0,0,0,0
goal  ,1,29,66,97,163,57,163,118,3,44,41,0,0,0,0,0,0,0,0
start ,1,175,199,70,86,70,126,196,28,171,107,0,0,0,0,0,0,0,0
start ,1,51,146,2,193,2,153,182,191,174,46,0,0,0,0,0,0,0,0
status,1,113,96,2,193,2,153,182,191,174,46,0,0,0,0,0,0,0,0
goal  ,1,113,96,2,193,2,153,182,191,174,46,0,0,0,0,0,0,0,0
start ,1,2,165,125,104,125,64,148,184,70,4,0,0,0,0,0,0,0,0
start ,1,98,147,113,187,153,187,6,91,188,136,0,0,0,0,0,0,0,0
status,1,143,142,113,187,153,187,6,91,188,136,0,0,0,0,0,0,0,0
goal  ,1,143,142,113,187,153,187,6,91,188,136,0,0,0,0,0,0,0,0
start ,1,173,139,114,61,114,101,197,38,126,173,0,0,0,0,0,0,0,0
start ,1,58,180,95,148,95,188,19,182,171,186,0,0,0,0,0,0,0,0
status,1,115,183,95,148,95,188,19,182,171,186,0,0,0,0,0,0,0,0
goal  ,1,115,183,95,148,95,188,19,182,171,186,0,0,0,0,0,0,0,0
start ,1,153,157,119,56,119,96,190,59,64,74,0,0,0,0,0,0,0,0
start ,1,23,75,195,77,195,37,30,72,2,156,0,0,0,0,0,0,0,0
status,1,13,116,195,77,195,37,30,72,2,156,0,0,0,0,0,0,0,0
goal  ,1,13,116,195,77,195,37,30,72,2,156,0,0,0,0,0,0,0,0
start ,1,91,152,18,62,18,102,46,42,99,72,0,0,0,0,0,0,0,0
start ,1,106,181,155,135,115,135,66,93,141,147,0,0,0,0,0,0,0,0
status,1,124,164,155,135,115,135,66,93,141,147,0,0,0,0,0,0,0,0
goal  ,1,124,164,155,135,115,135,66,93,141,147,0,0,0,0,0,0,0,0
start ,1,64,159,24,97,24,57,37,198,189,22,0,0,0,0,0,0,0,0
start ,1,103,106,105,148,105,108,92,3,109,179,0,0,0,0,0,0,0,0
status,1,106,143,105,148,105,108,92,3,109,179,0,0,0,0,0,0,0,0
goal  ,1,106,143,105,148,105,108,92,3,109,179,0,0,0,0,0,0,0,0
start ,1,154,134,84,27,124,27,164,1,71,60,0,0,0,0,0,0,0,0
status,1,183,138,177,121,177,81,95,157,167,197,0,0,0,0,0,0,0,0
goal  ,1,183,138,177,121,177,81,95,157,167,197,0,0,0,0,0,0,0,0
start ,1,81,18,31,192,71,192,54,172,63,9,0,0,0,0,0,0,0,0
start ,1,159,43,181,43,181,83,104,150,174,167,0,0,0,0,0,0,0,0
status,1,167,105,181,43,181,83,104,150,174,167,0,0,0,0,0,0,0,0
goal  ,1,167,105,181,43,181,83,104,150,174,167,0,0,0,0,0,0,0,0
start ,1,24,52,171,156,131,156,86,134,180,109,0,0,0,0,0,0,0,0
start ,1,20,145,119,155,159,155,103,3,161,88,0,0,0,0,0,0,0,0
status,1,91,117,119,155,159,155,103,3,161,88,0,0,0,0,0,0,0,0
goal  ,1,91,117,119,155,159,155,103,3,161,88,0,0,0,0,0,0,0,0
start ,1,115,45,182,95,182,135,92,82,19,112,0,0,0,0,0,0,0,0
start ,1,55,171,45,177,45,137,13,71,157,24,0,0,0,0,0,0,0,0
status,1,106,98,45,177,45,137,13,71,157,24,0,0,0,0,0,0,0,0
goal  ,1,106,98,45,177,45,137,13,71,157,24,0,0,0,0,0,0,0,0
start ,1,40,125,118,65,118,105,34,199,58,12,0,0,0,0,0,0,0,0
start ,1,94,85,37,139,77,139,71,59,171,188,0,0,0,0,0,0,0,0
status,1,133,137,37,139,77,139,71,59,171,188,0,0,0,0,0,0,0,0
